Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,I6_15,*,ALL,*,QUAL,*,0.433392,0.692634,0.583741,0.533171,1276,2960,2809091522,2546949881.000000,0.000000,24802,.,.,11797.000000,6468.000000,,1.82390228819,10749,.,.,4643.000000,4140.000000,,1.12149758454,14053,.,.,7154.000000,2328.000000,,3.07302405498,37407,.,.,17436.000000,14566.000000,,1.19703418921,10785,.,.,5306.000000,4154.000000,,1.27732306211,4786,.,.,1823.000000,2311.000000,,0.788836001731,21836,.,.,10307.000000,8101.000000,,1.27231206024
INDEL,I6_15,*,PASS,*,QUAL,*,0.422022,0.719934,0.552403,0.532119,1092,2475,2809091522,2546949881.000000,0.000000,24802,.,.,11797.000000,6468.000000,,1.82390228819,10467,.,.,4547.000000,3992.000000,,1.13902805611,14335,.,.,7250.000000,2476.000000,,2.9281098546,32603,.,.,15441.000000,12841.000000,,1.20247644264,10506,.,.,5208.000000,4004.000000,,1.3006993007,4087,.,.,1585.000000,1981.000000,,0.800100959112,18010,.,.,8648.000000,6856.000000,,1.26137689615
INDEL,I6_15,TS_boundary,ALL,*,QUAL,*,0.489362,0.741935,0.933333,0.589744,1,2,3033800718.000000,2546949881.000000,0.000000,47,.,.,24.000000,19.000000,,1.26315789474,23,.,.,10.000000,12.000000,,0.833333333333,24,.,.,14.000000,7.000000,,2.0,465,.,.,235.000000,177.000000,,1.32768361582,23,.,.,10.000000,12.000000,,0.833333333333,8,.,.,6.000000,2.000000,,3.0,434,.,.,219.000000,163.000000,,1.34355828221
INDEL,I6_15,TS_boundary,PASS,*,QUAL,*,0.468085,0.785714,0.930864,0.586667,1,1,3033800718.000000,2546949881.000000,0.000000,47,.,.,24.000000,19.000000,,1.26315789474,22,.,.,9.000000,12.000000,,0.75,25,.,.,15.000000,7.000000,,2.14285714286,405,.,.,204.000000,159.000000,,1.28301886792,22,.,.,9.000000,12.000000,,0.75,6,.,.,5.000000,1.000000,,5.0,377,.,.,190.000000,146.000000,,1.30136986301
INDEL,I6_15,TS_contained,ALL,*,QUAL,*,0.433286,0.692535,0.0,0.533061,1275,2958,2546949881.000000,2546949881.000000,0.000000,24755,.,.,11773.000000,6449.000000,,1.82555434951,10726,.,.,4633.000000,4128.000000,,1.12233527132,14029,.,.,7140.000000,2321.000000,,3.07626023266,15540,.,.,7113.000000,6451.000000,,1.10261974888,10762,.,.,5296.000000,4142.000000,,1.27860936746,4778,.,.,1817.000000,2309.000000,,0.786920744911,0,.,.,0.000000,0.000000,,
INDEL,I6_15,TS_contained,PASS,*,QUAL,*,0.421935,0.719808,0.0,0.532015,1091,2474,2546949881.000000,2546949881.000000,0.000000,24755,.,.,11773.000000,6449.000000,,1.82555434951,10445,.,.,4538.000000,3980.000000,,1.14020100503,14310,.,.,7235.000000,2469.000000,,2.93033616849,14565,.,.,6779.000000,5972.000000,,1.13513060951,10484,.,.,5199.000000,3992.000000,,1.30235470942,4081,.,.,1580.000000,1980.000000,,0.79797979798,0,.,.,0.000000,0.000000,,
SNP,*,*,ALL,*,QUAL,*,0.558787,0.831859,0.181814,0.668512,242610,11644,2809091522,2546949881.000000,0.000000,3365115,2280133.000000,1085711.000000,2060752.000000,1303287.000000,2.10012885565,1.58119585325,1880382,1274613.000000,606060.000000,962614.000000,917335.000000,2.10311355311,1.04935928532,1484733,1005520.000000,479651.000000,1098138.000000,385952.000000,2.09635755998,2.84527091452,2765127,1767086.000000,998833.000000,1396816.000000,1367118.000000,1.76915059875,1.02172306999,1881988,1275234.000000,607045.000000,963632.000000,917923.000000,2.10072399904,1.0497961158,380400,198628.000000,181846.000000,130058.000000,250253.000000,1.09228688011,0.51970605747,502739,293224.000000,209942.000000,303126.000000,198942.000000,1.39669051452,1.5236903218
SNP,*,*,PASS,*,QUAL,*,0.558774,0.83197,0.181006,0.668539,242569,11457,2809091522,2546949881.000000,0.000000,3365115,2280133.000000,1085711.000000,2060752.000000,1303287.000000,2.10012885565,1.58119585325,1880338,1274598.000000,606031.000000,962594.000000,917311.000000,2.1031894408,1.0493649373,1484777,1005535.000000,479680.000000,1098158.000000,385976.000000,2.09626209139,2.84514581217,2761927,1765588.000000,997127.000000,1395670.000000,1365070.000000,1.77067514971,1.02241643286,1881918,1275213.000000,606996.000000,963587.000000,917898.000000,2.10085898424,1.04977568314,380085,198500.000000,181659.000000,129949.000000,250047.000000,1.09270666468,0.51969829672,499924,291875.000000,208472.000000,302134.000000,197125.000000,1.40006811466,1.53270259987
SNP,*,TS_boundary,ALL,*,QUAL,*,0.527251,0.694971,0.531073,0.599603,1234,232,3033800718.000000,2546949881.000000,0.000000,13284,9317.000000,3982.000000,8103.000000,5164.000000,2.33977900552,1.56913245546,7004,4937.000000,2071.000000,3620.000000,3378.000000,2.38387252535,1.07164002368,6280,4380.000000,1911.000000,4483.000000,1786.000000,2.29199372057,2.51007838746,21498,13808.000000,7703.000000,11374.000000,10107.000000,1.79254835778,1.12535866231,7006,4937.000000,2073.000000,3621.000000,3379.000000,2.3815726001,1.07161882214,3075,1901.000000,1177.000000,1755.000000,1317.000000,1.61512319456,1.33257403189,11417,6970.000000,4453.000000,5998.000000,5411.000000,1.56523691893,1.10848272038
SNP,*,TS_boundary,PASS,*,QUAL,*,0.5271,0.694949,0.530429,0.599498,1233,232,3033800718.000000,2546949881.000000,0.000000,13284,9317.000000,3982.000000,8103.000000,5164.000000,2.33977900552,1.56913245546,7002,4936.000000,2070.000000,3620.000000,3376.000000,2.3845410628,1.07227488152,6282,4381.000000,1912.000000,4483.000000,1788.000000,2.29131799163,2.50727069351,21460,13792.000000,7680.000000,11360.000000,10084.000000,1.79583333333,1.12653708846,7003,4936.000000,2071.000000,3620.000000,3377.000000,2.38338966683,1.0719573586,3074,1901.000000,1176.000000,1755.000000,1316.000000,1.61649659864,1.33358662614,11383,6955.000000,4433.000000,5985.000000,5391.000000,1.56891495601,1.1101836394
SNP,*,TS_contained,ALL,*,QUAL,*,0.558912,0.832472,0.0,0.668799,241376,11412,2546949881.000000,2546949881.000000,0.000000,3351831,2270816.000000,1081729.000000,2052649.000000,1298123.000000,2.09924666899,1.58124384207,1873378,1269676.000000,603989.000000,958994.000000,913957.000000,2.10215086699,1.04927693535,1478453,1001140.000000,477740.000000,1093655.000000,384166.000000,2.09557499895,2.84682923528,2252307,1467024.000000,785641.000000,1088314.000000,1163480.000000,1.8672956223,0.935395537525,1874982,1270297.000000,604972.000000,960011.000000,914544.000000,2.09976164186,1.04971548663,377325,196727.000000,180669.000000,128303.000000,248936.000000,1.08888077091,0.515405566089,0,0.000000,0.000000,0.000000,0.000000,,
SNP,*,TS_contained,PASS,*,QUAL,*,0.558899,0.832583,0.0,0.668826,241336,11225,2546949881.000000,2546949881.000000,0.000000,3351831,2270816.000000,1081729.000000,2052649.000000,1298123.000000,2.09924666899,1.58124384207,1873336,1269662.000000,603961.000000,958974.000000,913935.000000,2.10222514368,1.04928030987,1478495,1001154.000000,477768.000000,1093675.000000,384188.000000,2.09548148892,2.84671827335,2251926,1466876.000000,785408.000000,1088161.000000,1163252.000000,1.86766113918,0.935447349328,1874915,1270277.000000,604925.000000,959967.000000,914521.000000,2.09989172211,1.04969377412,377011,196599.000000,180483.000000,128194.000000,248731.000000,1.0892937285,0.515392130454,0,0.000000,0.000000,0.000000,0.000000,,
